type,price,qty,status,operation,balance,orderId,orderLinkId,profit_loss,prediction
buy,0.0,5.0,ok,212,1.66464046 ETH,1708998035092275712,1708998035092275713,-0.0026954177898232,0.31092376
buy,0.0,5.0,ok,213,1.66603934 ETH,1708998039060087296,1708998039060087297,0.0,0.31092376
buy,0.0053908355795329,5.0,ok,214,1.66743822 ETH,1708998043019510272,1708998043027898880,0.0053908355795329,0.3120717
buy,0.0053908355795329,5.0,ok,215,1.66883710 ETH,1708998047062819328,1708998047062819329,0.0,0.3120717
buy,0.0053908355795329,5.0,ok,216,1.67023598 ETH,1708998051005465088,1708998051005465089,0.0,0.3120717
buy,0.0053908355795329,5.0,ok,217,1.67163486 ETH,1708998054931333632,1708998054939722240,0.0,0.3120717
buy,0.1590296495957091,5.0,ok,218,1.67303374 ETH,1708998058857202176,1708998058857202177,0.15363881401617618,0.34339187
buy,0.307277628032466,5.0,ok,219,1.67443262 ETH,1708998062808236544,1708998062808236545,0.1482479784367569,0.36920345
buy,0.1590296495957091,5.0,ok,220,1.67583150 ETH,1708998066750882304,1708998066750882305,-0.1482479784367569,0.34339187
buy,0.1590296495957091,5.0,ok,221,1.67723038 ETH,1708998070701916672,1708998070710305280,0.0,0.34339187
buy,0.3045822102426427,5.0,ok,222,1.67862926 ETH,1708998074644562432,1708998074644562433,0.14555256064693362,0.3687817
sell,0.3962264150944747,0.001,ok,223,1.67762926 ETH,1708998078595596800,1708998078595596801,0.091644204851832,0.38212785
buy,0.3045822102426427,5.0,ok,224,1.67902814 ETH,1708998082529853952,1708998082529853953,0.0,0.3687817
buy,0.3045822102426427,5.0,ok,225,1.68042702 ETH,1708998086506054144,1708998086506054145,0.0,0.3687817
buy,0.307277628032466,5.0,ok,226,1.68182590 ETH,1708998090582917632,1708998090582917633,0.0026954177898232956,0.36920345
buy,0.3045822102426427,5.0,ok,227,1.68322478 ETH,1708998094559117824,1708998094559117825,-0.0026954177898232956,0.3687817
buy,0.307277628032466,5.0,ok,228,1.68462366 ETH,1708998098501763584,1708998098501763585,0.0026954177898232956,0.36920345
buy,0.307277628032466,5.0,ok,229,1.68602254 ETH,1708998102519906816,1708998102519906817,0.0,0.36920345
sell,0.5229110512129864,0.001,ok,230,1.68502254 ETH,1708998106613547520,1708998106613547521,0.21563342318052042,0.3974278
